[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22128888772717E+000 0.00000000000000E+000 -.12959228056699E-097 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.49925931535341E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.48028444480420E-098 0.00000000000000E+000 0.72878518073749E+000 0.00000000000000E+000 0.30000000000000E+003 0.35000000000000E-001 -.23013545362833E+003 0.49925931535341E-001 0.30000000000000E+003 0.10132500000000E+006 0.11270373206847E-002 0.27744545509365E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 -.54191916608436E-032
   2 -.43124483577125E+000 0.10650536705260E-012 0.11223192033632E-042 0.42940058986980E-032 0.22128888778219E+000 0.26541342523032E-035 0.12557411261313E-033 0.14223579291516E-035 -.35041211113981E-048 -.16104649963353E-049 0.17496189305441E-033 0.49925931571908E-001 0.91695531139567E-048 0.44290532067012E-064 -.19867584353543E-048 0.64455043193010E-037 0.86347603886683E-050 0.15224905804595E-041 -.15771913530565E-041 0.21946115323717E-039 -.43478646659085E-035 0.30475199262236E-035 0.72878518064580E+000 0.20877435866989E-031 0.30000000010090E+003 0.35000000000000E-001 -.23013545369024E+003 0.49925931535341E-001 0.30000000010090E+003 0.10132500000000E+006 0.11270373202813E-002 0.27744545508766E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.13945030924449E-030
   3 -.36570425082844E+000 0.14533297513186E-011 0.11249103132104E-042 0.36568487297742E-029 0.22128888999946E+000 0.22614378652281E-032 0.84656049599631E-031 0.27539246692614E-035 -.28382582476233E-046 -.13044554781056E-047 0.14001114303420E-030 0.49925927302430E-001 0.24965594935840E-044 0.72666749822418E-054 -.16092235277826E-046 0.48342441734866E-034 0.68856743276132E-047 0.12210224019184E-039 -.12648932649048E-039 -.56334943848114E-038 -.48323568709967E-034 -.20124866159085E-034 0.72878518269665E+000 0.12393808132451E-030 0.29999998987892E+003 0.35000000000000E-001 -.23013544479420E+003 0.49925931552732E-001 0.29999998987892E+003 0.10132500000000E+006 0.11270373625279E-002 0.27744545603412E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.12329465881243E-027
   4 -.30554462336654E+000 0.15145391917003E-010 0.11893331247790E-041 0.15080205666035E-026 0.22129061943004E+000 0.93407796365820E-030 0.33348108121536E-028 0.45551796007162E-035 -.15484073910351E-044 -.71166746360337E-046 0.53686698412209E-028 0.49926339423039E-001 0.20376038566630E-038 0.61316940897707E-046 -.87791550171863E-045 0.16953115162800E-031 0.26274354080718E-044 0.65505591842083E-038 -.67856898920095E-038 -.22565772890893E-036 -.94684028499785E-032 0.17171489885018E-031 0.72878304113177E+000 0.45058804423260E-029 0.30000204605200E+003 0.35000000000000E-001 -.23013515868835E+003 0.49927239242145E-001 0.30000204605200E+003 0.10132500000000E+006 0.11270295349671E-002 0.27744543067806E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.50944088534522E-025
   5 -.25098655874797E+000 0.12659987144677E-009 0.37714645820167E-038 0.31283607896886E-024 0.22137436128088E+000 0.20239741552556E-027 0.82333416369316E-026 0.52919509548119E-032 -.24638440881890E-042 -.11329916956847E-043 0.94768610812719E-026 0.49853043943679E-001 0.66524377239983E-034 0.19792664543581E-040 -.13970260266456E-042 0.28324210355221E-029 0.51456007975486E-042 0.10200882445356E-035 -.10573111273834E-035 0.12706150779807E-034 -.15427401372947E-031 0.31003767444915E-031 0.72877259464884E+000 0.44993650217851E-029 0.30001197882495E+003 0.35000000000000E-001 -.22978388178866E+003 0.62401414793490E-001 0.30001197882495E+003 0.10132500000000E+006 0.11270649079425E-002 0.27746332482075E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.11136437226673E-022
   6 -.20000000000000E+000 0.92139492734690E-009 0.54983080375865E-034 0.39337200974133E-022 0.22128888415492E+000 0.59854361037516E-025 0.26317687596393E-023 0.88374969069010E-029 -.15180509044059E-040 -.80176457125289E-042 0.37239160784858E-023 0.49925930605607E-001 0.30273860538335E-030 0.62580361989195E-037 -.10334576339925E-040 0.28928522464416E-026 0.17360519334388E-037 0.22279887025272E-034 -.23243876780945E-034 0.33966679641301E-032 -.15722290430999E-031 0.29202891556326E-031 0.72878518431807E+000 0.44954632276471E-029 0.33300000000000E+003 0.58333333333333E-001 -.19467020139854E+003 0.49925931535341E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153489258551E-002 0.27744545189697E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.52069399086314E-020
   7 -.15365985824349E+000 0.14988262806029E-007 0.11235706803722E-029 0.83957640685154E-019 0.22128883648927E+000 0.12837852225422E-021 0.18519597671326E-017 -.58140319092584E-024 0.28902686665795E-040 0.17330279088318E-041 0.54308152882418E-020 0.49925918196789E-001 -.36564909050915E-022 -.98424509239103E-029 0.19775695306879E-040 0.28787879956756E-023 0.36659908743118E-034 0.24359739180896E-028 -.40478970816991E-034 -.70319922913905E-029 0.72520165759774E-030 -.12459644112305E-027 0.72878523032568E+000 0.44954618802452E-029 0.33300000000000E+003 0.58333333333333E-001 -.19467013749876E+003 0.49925931535341E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153487467735E-002 0.27744540296268E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.11170271577760E-016
   8 -.11038413661651E+000 0.20260273391493E-006 0.11894021779440E-025 0.85412056484326E-016 0.22128834632887E+000 0.15444455091925E-018 0.37292048600989E-012 0.59155829864011E-017 0.78343344821319E-034 0.39614211375764E-035 0.10293945892097E-016 0.49925790511602E-001 0.30792241257674E-015 0.10793128886444E-021 0.53479072816164E-034 0.48873480461479E-020 -.11125387264092E-026 -.26198096181777E-021 0.16617780952543E-029 0.12174578967719E-021 0.46814111510929E-026 0.10695746212195E-020 0.72878566055642E+000 0.44954913998007E-029 0.33300000000000E+003 0.58333333333333E-001 -.19466946007908E+003 0.49925931535346E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153463481674E-002 0.27744474754036E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.13991489048495E-013
   9 -.73233196343838E-001 0.18975649894721E-005 0.72866018635815E-022 0.24786954422414E-013 0.22128520775291E+000 0.21423865149127E-015 0.24941112107084E-008 0.81746651507030E-012 0.93902159865963E-027 0.45281005402621E-028 0.84716382953278E-013 0.49924967453908E-001 0.47112766776671E-010 -.11201420838223E-015 0.64794776521004E-027 0.87944257537423E-017 0.27052223229943E-020 0.26665460257158E-015 -.23312826770845E-022 -.13480096788312E-015 0.55275687454456E-023 0.22124955939000E-015 0.72878792468604E+000 0.10235780035699E-027 0.33300000000000E+003 0.58333333333333E-001 -.19466490159701E+003 0.49925931637111E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153245911658E-002 0.27743880241057E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.22967413433418E-010
  10 -.44528900153086E-001 0.10752806611227E-004 0.21786710657438E-018 0.16759030336664E-011 0.22127326775700E+000 0.23438466948117E-012 0.10278347230329E-005 0.11621557013872E-008 0.53804470016437E-021 0.30396259653766E-022 0.52158819084517E-010 0.49921214174846E-001 0.69092129899704E-007 0.13106253529734E-008 0.79421187892096E-021 0.83686937933660E-010 0.88540328455930E-013 0.55568981922092E-010 0.12999991953685E-016 0.23695862921718E-010 0.10295557997743E-020 0.35407808642047E-012 0.72879366564445E+000 0.21268934291798E-024 0.33300000000000E+003 0.58333333333333E-001 -.19465746534145E+003 0.49926005339922E-001 0.33300000000000E+003 0.10132500000000E+006 0.10152105218088E-002 0.27740763280621E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.29400989256850E-007
