[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22006809830394E+000 0.00000000000000E+000 0.20651695205320E-034 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.55167226685657E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.72476467501040E+000 0.00000000000000E+000 0.30000000000000E+003 0.43367742494133E-001 -.25449566524433E+003 0.55167226685657E-001 0.10132500000000E+006 0.11225205508488E-002 0.27633355113122E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000000000000E+003 -.59115127334118E-032
   2 -.44482031913205E+000 0.10057847539252E-012 -.28333474428112E-039 0.32837726750120E-031 0.22006809830358E+000 0.22024304171229E-034 0.10051583738781E-025 0.88498571214356E-029 -.87572807553822E-042 -.40146617570664E-043 0.31112760236178E-030 0.55167226685559E-001 0.50561834892293E-027 0.10222199840120E-028 -.49651498444750E-042 0.62897252314531E-030 -.69384418159810E-039 0.34249409355600E-030 -.29798798227741E-035 0.20578617165924E-030 -.77247265925339E-035 0.32698610034074E-032 0.72476467501076E+000 0.31404225163609E-031 0.29999999999980E+003 0.43367742494133E-001 -.25449566524410E+003 0.55167226685657E-001 0.10132500000000E+006 0.11225205508482E-002 0.27633355113088E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999980E+003 0.17576178790413E-029
   3 -.38965482313239E+000 0.15512208567316E-011 -.12138804903646E-037 0.15770413644228E-029 0.22006809829845E+000 0.10175002669648E-032 0.30990930766650E-024 0.29459947373736E-027 -.27415966526932E-040 -.12568295030854E-041 0.96267980713198E-029 0.55167226684159E-001 0.16846284876998E-025 0.40453067428281E-027 -.15586231532141E-040 0.25024256420313E-028 -.72354011999041E-036 0.13402352158148E-028 -.94665763219582E-034 0.84931136617313E-029 -.15082338604732E-033 0.92260979781326E-031 0.72476467501584E+000 0.17656616203781E-028 0.29999999999691E+003 0.43367742494133E-001 -.25449566524066E+003 0.55167226685657E-001 0.10132500000000E+006 0.11225205508387E-002 0.27633355112589E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999691E+003 0.74452951430500E-028
   4 -.33453521409588E+000 0.22424892621297E-010 -.46498898613874E-036 0.11568442488235E-026 0.22006809822490E+000 0.72140045912651E-030 0.47914592675299E-023 0.49038546320331E-026 -.43107135426228E-039 -.19761922185650E-040 0.18104956443980E-027 0.55167226664098E-001 0.28064544992705E-024 0.79761708746124E-026 -.25486843552555E-039 0.49612173906624E-027 -.18943957049598E-033 0.26140199309127E-027 -.15091688386421E-032 0.17456649520915E-027 -.14184134063632E-032 0.13796839558849E-029 0.72476467508858E+000 0.17556025856408E-027 0.29999999995550E+003 0.43367742494133E-001 -.25449566519150E+003 0.55167226685656E-001 0.10132500000000E+006 0.11225205507020E-002 0.27633355105409E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999995550E+003 0.43381046630119E-025
   5 -.27955708690613E+000 0.32062312636735E-009 -.26781482632682E-034 0.14706588673565E-023 0.22006809719128E+000 0.90693273849048E-027 0.50861183625174E-022 0.55866810469061E-025 -.46747700426629E-038 -.21437113850154E-039 0.44607081122994E-025 0.55167226381517E-001 0.31992146485784E-023 0.10755497681794E-024 -.39689954380056E-038 0.67352744718581E-026 -.23332765769946E-031 0.34876078086783E-026 -.16511406913335E-031 0.24540831256198E-026 -.86131290932340E-032 0.14797172314334E-028 0.72476467610658E+000 0.34347242784384E-027 0.29999999936957E+003 0.43367742494133E-001 -.25449566450177E+003 0.55167226685656E-001 0.10132500000000E+006 0.11225205487272E-002 0.27633355002824E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999936957E+003 0.54141287340495E-022
   6 -.22504488127243E+000 0.44804562700879E-008 -.30422463108643E-031 0.17283268708455E-020 0.22006808349780E+000 0.10670637885714E-023 0.14172581974871E-020 0.60409285901391E-024 -.64718608153691E-037 -.29811799942844E-038 0.49739656327651E-022 0.55167222613951E-001 0.34060512592005E-022 0.11821607558813E-023 -.63369364594067E-036 0.89702273864942E-025 -.33916541687084E-029 0.41761256724550E-025 -.21706058325879E-030 0.29845159883603E-025 0.59563452425091E-031 0.15916541336919E-027 0.72476468940780E+000 0.40866847849385E-026 0.29999999147656E+003 0.43367742494133E-001 -.25449565538856E+003 0.55167226685653E-001 0.10132500000000E+006 0.11225205200843E-002 0.27633353570681E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999147656E+003 0.63714948597328E-019
   7 -.17200429475797E+000 0.58304298464452E-007 -.18017286345493E-027 0.15545955973682E-017 0.22006792847832E+000 0.98689333533335E-021 0.22342388868008E-015 0.27975110230088E-021 -.22485533659396E-032 -.11551701518612E-033 0.46893012022966E-019 0.55167179462091E-001 0.11023966319532E-019 0.56504135523357E-022 -.10855820760313E-031 0.15261569874973E-022 0.31870680199667E-027 0.30852698395167E-023 -.27578877511203E-028 0.20810690760536E-023 0.28426079451813E-027 0.70233096012057E-026 0.72476483375529E+000 0.89254176564379E-026 0.29999989956076E+003 0.43367742494133E-001 -.25449555248954E+003 0.55167226685646E-001 0.10132500000000E+006 0.11225201097002E-002 0.27633335001688E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999989956076E+003 0.59325482985138E-016
   8 -.12281366216946E+000 0.63015946025533E-006 -.52995728181947E-024 0.72754254703818E-015 0.22006666002033E+000 0.82998094054625E-018 0.72512608827897E-011 0.10729368553873E-014 -.11253478732736E-026 -.57571736581852E-028 0.34178116568211E-015 0.55166821197329E-001 0.53583675863414E-013 -.22309893515255E-017 -.17570895898455E-026 -.93064473893822E-019 -.12980806257763E-019 -.19432678355036E-018 -.17344999343711E-025 -.19617002333302E-019 0.52320581174455E-024 0.24466329251739E-018 0.72476588861558E+000 0.25184297023858E-026 0.29999912165795E+003 0.43367742494133E-001 -.25449471114812E+003 0.55167226685633E-001 0.10132500000000E+006 0.11225149756641E-002 0.27633136962751E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999912165795E+003 0.55542718824752E-013
   9 -.81276398444332E-001 0.47192442672128E-005 0.21936988885618E-021 0.10798919979598E-012 0.22006056206811E+000 0.14962920981518E-014 0.15690726614043E-007 0.13274271291024E-010 -.45745325517115E-022 -.23583164079672E-023 0.11397003274165E-011 0.55164945113897E-001 0.69083955522098E-009 0.87894874901686E-012 -.87472444373053E-022 0.70144888117802E-013 -.18272988376527E-015 0.75966183674480E-013 0.43955289356150E-021 0.87076119175668E-014 0.22138932028251E-021 0.36649580222230E-014 0.72476975717659E+000 0.14740786927844E-025 0.29999516337686E+003 0.43367742494133E-001 -.25449036749619E+003 0.55167226685612E-001 0.10132500000000E+006 0.11224720985918E-002 0.27631716864546E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999516337686E+003 0.11225613786397E-009
  10 -.50852275133603E-001 0.20776925328873E-004 0.50768556242535E-018 0.37844969961306E-011 0.22004902513838E+000 0.96261386368539E-012 0.25498090285869E-005 0.47803793375094E-008 -.23475518507585E-019 -.13212355767377E-020 0.23276413672098E-009 0.55153846894787E-001 0.25302799193189E-006 0.62029434610650E-008 -.31237987734513E-018 0.57397599641094E-009 0.60285614993122E-012 0.40368725492135E-009 0.97071383754206E-016 0.23575967996832E-009 0.15942567745587E-019 0.14251559399011E-011 0.72477353576820E+000 -.12771839986024E-025 0.30000428925687E+003 0.43367742494133E-001 -.25446361702281E+003 0.55167226685590E-001 0.10132500000000E+006 0.11222147550599E-002 0.27626222246427E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000428925687E+003 0.10325181266429E-006
