[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         200
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          36

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.90, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Burner stabilized flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Tsolid           Press            Density          MeanMass         Surface          Stretch          Porosity         DensSolid        HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22128888772717E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.49925931535341E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.72878518073749E+000 0.00000000000000E+000 0.30000000000000E+003 0.35000000000000E-001 -.23013545362833E+003 0.49925931535341E-001 0.30000000000000E+003 0.10132500000000E+006 0.11270373206847E-002 0.27744545509365E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 -.54191916608436E-032
   2 -.43123219110880E+000 0.10656477041579E-012 0.11223204448432E-042 0.35341191400658E-031 0.22128888778220E+000 0.21417391585530E-034 0.83895310667878E-033 0.14225768357960E-035 -.66414718574226E-050 -.30524895269211E-051 0.14217697661103E-032 0.49925931571911E-001 -.56491309486740E-047 -.20222501540815E-063 -.37655242299003E-050 0.52385371836764E-036 0.70168084659078E-049 0.21495151599353E-043 -.28920084158487E-043 -.12049611712393E-035 -.27688900725295E-031 0.59115671412709E-031 0.72878518064578E+000 0.12916946391786E-031 0.30000000010091E+003 0.35000000000000E-001 -.23013545369024E+003 0.49925931535341E-001 0.30000000010091E+003 0.10132500000000E+006 0.11270373202813E-002 0.27744545508766E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.11567769057307E-029
   3 -.36568342060593E+000 0.14545557582539E-011 0.11250410461674E-042 0.38777670975140E-029 0.22128889000267E+000 0.23947250727511E-032 0.90085328266453E-031 0.27540999081022E-035 -.27737353796784E-048 -.12749615166959E-049 0.14955923345548E-030 0.49925927301455E-001 0.26950672071814E-044 -.33159159000073E-053 -.15725861113114E-048 0.52097720135555E-034 0.73586703696478E-047 0.10028465433005E-041 -.11148150946280E-041 -.13754123431084E-034 -.27432195268563E-030 0.47812299301076E-030 0.72878518269442E+000 -.11285961354503E-029 0.29999998987791E+003 0.35000000000000E-001 -.23013544479074E+003 0.49925931552771E-001 0.29999998987791E+003 0.10132500000000E+006 0.11270373625329E-002 0.27744545603443E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.13051926970525E-027
   4 -.30552332956878E+000 0.15158379399861E-010 0.11841395506988E-041 0.14967139619311E-026 0.22129062023879E+000 0.92603451499777E-030 0.32968852062133E-028 0.45558472310631E-035 -.22999248206625E-046 -.10571455380426E-047 0.53218500219051E-028 0.49926339470560E-001 0.23214812079795E-038 -.27959755161763E-045 -.13039742951663E-046 0.16808043748310E-031 0.26045406884545E-044 0.79159103845052E-040 -.92797070431193E-040 -.19567226611120E-032 -.52506190639611E-028 0.11197145918720E-027 0.72878304027549E+000 -.61223518866762E-030 0.30000204683446E+003 0.35000000000000E-001 -.23013515807146E+003 0.49927242431270E-001 0.30000204683446E+003 0.10132500000000E+006 0.11270295321002E-002 0.27744543069595E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.50491563044749E-025
   5 -.25097316397895E+000 0.12666988437333E-009 0.38299224476620E-038 0.29811703018919E-024 0.22137438307439E+000 0.19286887129873E-027 0.77408799082886E-026 0.55885188514623E-032 -.13431742016588E-043 -.61776225962248E-045 0.90362536901058E-026 0.49853024936971E-001 0.75569338976836E-034 -.90204828981892E-040 -.76155535079978E-044 0.27009666595700E-029 0.49063920476339E-042 0.47545736578485E-037 -.49305407333027E-037 -.72776615035637E-032 -.15710474062661E-027 0.33568639477760E-027 0.72877259186197E+000 -.55554084085549E-030 0.30001202635242E+003 0.35000000000000E-001 -.22978374256084E+003 0.62401396334871E-001 0.30001202635242E+003 0.10132500000000E+006 0.11270647482548E-002 0.27746332946382E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.00000000000000E+000 0.10612088291718E-022
   6 -.20000000000000E+000 0.92143024745099E-009 0.58594356562978E-034 0.37405895188601E-022 0.22128888410856E+000 0.56911017750236E-025 0.23603707994344E-023 0.94377594262028E-029 -.26364913296176E-042 -.13926453455618E-043 0.35484722755510E-023 0.49925930593539E-001 0.34270350638285E-030 -.28513488363379E-036 -.17947688821025E-042 0.27624276073424E-026 0.16545617802712E-037 0.13508544355874E-036 -.37671599775154E-036 -.17672883754051E-031 -.42588951030760E-027 0.91232912635184E-027 0.72878518437647E+000 -.55506685603184E-030 0.33300000000000E+003 0.58333333333333E-001 -.19467020134273E+003 0.49925931535341E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153489258579E-002 0.27744545189774E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.49508274376457E-020
   7 -.15335784837389E+000 0.15265958396408E-007 0.12400134813186E-029 0.86167461839097E-019 0.22128883509382E+000 0.13179271218665E-021 0.17287827794929E-017 -.65209758049791E-024 0.30617062543694E-040 0.18358242788097E-041 0.56045092612901E-020 0.49925917833564E-001 -.40861615423225E-022 0.44270674632369E-028 0.20949708614485E-040 0.29873420563579E-023 0.98521342405835E-034 0.34748246970587E-028 -.21955330668223E-034 -.12655118683483E-028 -.58062325465130E-027 0.11071802661584E-026 0.72878523180666E+000 -.55506673180834E-030 0.33300000000000E+003 0.58333333333333E-001 -.19467013569056E+003 0.49925931535341E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153487432700E-002 0.27744540200536E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.11468338857716E-016
   8 -.10987866626327E+000 0.20890092603672E-006 0.13572178515100E-025 0.91780870680114E-016 0.22128832830704E+000 0.16740365667287E-018 0.41001923070190E-012 0.64469666083201E-017 0.93548120556395E-034 0.46882741906081E-035 0.11237934737012E-016 0.49925785819434E-001 0.33498176201972E-015 -.47259677705397E-021 0.63849807085103E-034 0.53156062056194E-020 -.64798479763350E-026 -.36379839843828E-021 0.33127424771167E-029 0.15323898960265E-021 0.47817243970036E-026 0.11559289316496E-020 0.72878567697219E+000 -.55508794933983E-030 0.33300000000000E+003 0.58333333333333E-001 -.19466943546243E+003 0.49925931535346E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153462677549E-002 0.27744472556753E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.15193358926355E-013
   9 -.72675167895400E-001 0.19627014255692E-005 0.84830328853246E-022 0.26902548549952E-013 0.22128509244775E+000 0.24370219271406E-015 0.28044688816132E-008 0.94195926486215E-012 0.12090672492583E-026 0.58378534855238E-028 0.96018177751910E-013 0.49924937064821E-001 0.54321331119945E-010 0.47467306881374E-015 0.83624994323111E-027 0.46265037629673E-016 0.10371441110958E-019 0.35835904848585E-015 -.45072688808886E-022 -.16421022431909E-015 0.61117051934165E-023 0.25554698390368E-015 0.72878800492614E+000 -.13503681060240E-028 0.33300000000000E+003 0.58333333333333E-001 -.19466473504928E+003 0.49925931649834E-001 0.33300000000000E+003 0.10132500000000E+006 0.10153237546896E-002 0.27743857384232E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.26170155054759E-010
  10 -.44052430073623E-001 0.11068161420883E-004 0.25238288313757E-018 0.17954981900118E-011 0.22127286206039E+000 0.26537654853971E-012 0.11307423500584E-005 0.12994939374565E-008 0.67284088933360E-021 0.38064618924343E-022 0.57691882807469E-010 0.49921046915765E-001 0.77287059702961E-007 0.15371386383239E-008 0.10130534802229E-020 0.98171865601167E-010 0.10733215212122E-012 0.64873250313142E-010 0.16168761874230E-016 0.28282635489867E-010 0.11208983632831E-020 0.39650134508531E-012 0.72879381174480E+000 -.27100226250435E-025 0.33300000000000E+003 0.58333333333333E-001 -.19465795931741E+003 0.49926012477788E-001 0.33300000000000E+003 0.10132500000000E+006 0.10152064506976E-002 0.27740652036965E+002 0.10000000000000E+001 0.00000000000000E+000 0.60000000000000E+000 0.00000000000000E+000 0.33577863983630E-007
