[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 Temp (K), Cp (J/gr), Conductivity (W/cm.K), Viscosity (gr/cm.s), check this !!!                     
[NUMBER_OF_SPECIES]
           4
[NUMBER_OF_VARIABLES]
           4

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) Temp             Cp               Lambda           Eta             
   1 -.50000000000000E+000 0.30000000000000E+003 0.10773267694391E+001 0.26982168429346E-003 0.17985113251869E-003
   2 -.44482031913205E+000 0.29999999999980E+003 0.10773267694403E+001 0.26982168429766E-003 0.17985113251833E-003
   3 -.38965482313239E+000 0.29999999999691E+003 0.10773267694578E+001 0.26982168436227E-003 0.17985113251273E-003
   4 -.33453521409588E+000 0.29999999995550E+003 0.10773267697103E+001 0.26982168528676E-003 0.17985113243336E-003
   5 -.27955708690613E+000 0.29999999936957E+003 0.10773267733209E+001 0.26982169825027E-003 0.17985113135914E-003
   6 -.22504488127243E+000 0.29999999147656E+003 0.10773268238744E+001 0.26982186848947E-003 0.17985111864649E-003
   7 -.17200429475797E+000 0.29999989956076E+003 0.10773274843428E+001 0.26982373655632E-003 0.17985100605457E-003
   8 -.12281366216946E+000 0.29999912165795E+003 0.10773346212309E+001 0.26983799494560E-003 0.17985036824083E-003
   9 -.81276398444332E-001 0.29999516337686E+003 0.10773864964283E+001 0.26990627777602E-003 0.17985021008079E-003
  10 -.50852275133603E-001 0.30000428925687E+003 0.10775919860000E+001 0.27016361017375E-003 0.17989611174936E-003
  11 -.32041460032013E-001 0.30050379091904E+003 0.10780609117903E+001 0.27097434486552E-003 0.18020209414392E-003
  12 -.22015401266016E-001 0.30289755328677E+003 0.10789063731168E+001 0.27285243996975E-003 0.18113004627957E-003
  13 -.16955425347724E-001 0.30687724445303E+003 0.10800101628058E+001 0.27584137139873E-003 0.18276554368484E-003
  14 -.14151201452324E-001 0.31104270103724E+003 0.10811135520949E+001 0.27924997491646E-003 0.18469855018881E-003
  15 -.12292495924096E-001 0.31506143596918E+003 0.10821748482584E+001 0.28255464145562E-003 0.18659214547682E-003
  16 -.10870326420547E-001 0.31904939432935E+003 0.10832360537761E+001 0.28574844925585E-003 0.18842567453287E-003
  17 -.96899850211620E-002 0.32310171824828E+003 0.10843265311144E+001 0.28893631804977E-003 0.19025373845388E-003
  18 -.86652005003587E-002 0.32726404278692E+003 0.10854610238823E+001 0.29217869788613E-003 0.19210837753650E-003
  19 -.77509083463604E-002 0.33155627826293E+003 0.10866469212543E+001 0.29550278353817E-003 0.19400338684810E-003
  20 -.69203366938048E-002 0.33598620033785E+003 0.10878880858443E+001 0.29892037673675E-003 0.19594407633175E-003
  21 -.61559286060224E-002 0.34055635632723E+003 0.10891867801586E+001 0.30243630062590E-003 0.19793195093151E-003
  22 -.54453472823911E-002 0.34526707586269E+003 0.10905445219853E+001 0.30605229204480E-003 0.19996687988778E-003
  23 -.47795076598251E-002 0.35011767392323E+003 0.10919624378189E+001 0.30976867516794E-003 0.20204802172949E-003
  24 -.41514889080853E-002 0.35510696251774E+003 0.10934414192482E+001 0.31358506150369E-003 0.20417420471349E-003
  25 -.35558803563575E-002 0.36023348720148E+003 0.10949821981669E+001 0.31750067704584E-003 0.20634410103782E-003
  26 -.29883608767223E-002 0.36549566793809E+003 0.10965853925991E+001 0.32151454739886E-003 0.20855632364904E-003
  27 -.24454129628669E-002 0.37089193129319E+003 0.10982515498496E+001 0.32562563590119E-003 0.21080949775427E-003
  28 -.19241206420060E-002 0.37642086036641E+003 0.10999811963782E+001 0.32983313236269E-003 0.21310241378042E-003
  29 -.14219862764045E-002 0.38208178753099E+003 0.11017750311872E+001 0.33413789520476E-003 0.21543479850517E-003
  30 -.93654417209669E-003 0.38787850838240E+003 0.11036351402764E+001 0.33854732626073E-003 0.21780990055696E-003
  31 -.46440537216040E-003 0.39383182475498E+003 0.11055691839129E+001 0.34308438363770E-003 0.22023918975097E-003
  32 0.00000000000000E+000 0.40000000000000E+003 0.11075974949552E+001 0.34764162238358E-003 0.22266478253377E-003
  33 0.43530902506362E-003 0.40607045394232E+003 0.11096171498082E+001 0.35235729439711E-003 0.22515959775931E-003
  34 0.86594926388994E-003 0.41235710541764E+003 0.11117324301954E+001 0.35709108857333E-003 0.22764877701597E-003
  35 0.12887836817591E-002 0.41880773228044E+003 0.11139270530511E+001 0.36195315403748E-003 0.23018995213851E-003
  36 0.17025528448295E-002 0.42539167980681E+003 0.11161913495514E+001 0.36691797204118E-003 0.23276899357714E-003
  37 0.21072316241116E-002 0.43209523294685E+003 0.11185210611456E+001 0.37197146587950E-003 0.23537800742802E-003
  38 0.25032911674021E-002 0.43891280445146E+003 0.11209145473960E+001 0.37710711509619E-003 0.23801316501501E-003
  39 0.28913043952307E-002 0.44584144734099E+003 0.11233709794763E+001 0.38232176565884E-003 0.24067244935507E-003
  40 0.32718175959602E-002 0.45287882032247E+003 0.11258896559585E+001 0.38761329494567E-003 0.24335441953428E-003
  41 0.36453236120871E-002 0.46002262347423E+003 0.11284698092761E+001 0.39297977853177E-003 0.24605777455424E-003
  42 0.40122620129236E-002 0.46727046733469E+003 0.11311105595080E+001 0.39841928801155E-003 0.24878124821147E-003
  43 0.43730275962810E-002 0.47461991105068E+003 0.11338109282680E+001 0.40392985983743E-003 0.25152359268411E-003
  44 0.47279780520432E-002 0.48206851138961E+003 0.11365698576048E+001 0.40950950808245E-003 0.25428358438333E-003
  45 0.50774378941123E-002 0.48961381575207E+003 0.11393862089886E+001 0.41515631096160E-003 0.25706006565122E-003
  46 0.54217102682106E-002 0.49725354451663E+003 0.11422588337833E+001 0.42086853883599E-003 0.25985200508027E-003
  47 0.57610944271322E-002 0.50498594447967E+003 0.11451867116999E+001 0.42664465887378E-003 0.26265849610455E-003
  48 0.60958783994781E-002 0.51280961446683E+003 0.11481688924552E+001 0.43248316593939E-003 0.26547867213181E-003
  49 0.64263061932211E-002 0.52072268525795E+003 0.11512041857119E+001 0.43838233752512E-003 0.26831158799536E-003
  50 0.67525630963815E-002 0.52872233453208E+003 0.11542909691368E+001 0.44434003888267E-003 0.27115612899011E-003
  51 0.70747941535907E-002 0.53680509566234E+003 0.11574273001127E+001 0.45035374476094E-003 0.27401102553281E-003
  52 0.73931293874090E-002 0.54496740659348E+003 0.11606111268340E+001 0.45642078790984E-003 0.27687497423194E-003
  53 0.77076983892714E-002 0.55320596234242E+003 0.11638404296317E+001 0.46253863035680E-003 0.27974676556470E-003
  54 0.80186365432537E-002 0.56151788848519E+003 0.11671132955459E+001 0.46870501614117E-003 0.28262535206062E-003
  55 0.83260863386357E-002 0.56990079757414E+003 0.11704279477116E+001 0.47491802599275E-003 0.28550986882997E-003
  56 0.86301957108535E-002 0.57835276409734E+003 0.11737827420153E+001 0.48117607650173E-003 0.28839962789113E-003
  57 0.89311155644942E-002 0.58687226874824E+003 0.11771761503288E+001 0.48747785143874E-003 0.29129408167296E-003
  58 0.92289941117392E-002 0.59545804072459E+003 0.11806067015833E+001 0.49382215814641E-003 0.29419275362917E-003
  59 0.95239659387615E-002 0.60410872571533E+003 0.11840728510430E+001 0.50020777416175E-003 0.29709516659747E-003
  60 0.98161446665882E-002 0.61282262900009E+003 0.11875728773858E+001 0.50663340481276E-003 0.30000082329313E-003
  61 0.10105631947684E-001 0.62159793697176E+003 0.11911049714282E+001 0.51309779505629E-003 0.30290925655796E-003
  62 0.10392536676659E-001 0.63043328302518E+003 0.11946674652718E+001 0.51959988989982E-003 0.30582009997939E-003
  63 0.10676981276868E-001 0.63932796125328E+003 0.11982589210036E+001 0.52613889848973E-003 0.30873311383711E-003
  64 0.10959088368983E-001 0.64828152914525E+003 0.12018779717432E+001 0.53271419546443E-003 0.31164813832302E-003
  65 0.11238965954280E-001 0.65729332362546E+003 0.12055231255999E+001 0.53932510303160E-003 0.31456499548699E-003
  66 0.11516702693851E-001 0.66636226852681E+003 0.12091926866527E+001 0.54597066919681E-003 0.31748339226667E-003
  67 0.11792365726379E-001 0.67548675520903E+003 0.12128847059337E+001 0.55264958189603E-003 0.32040288548679E-003
  68 0.12066000803581E-001 0.68466459730942E+003 0.12165969632970E+001 0.55936036268824E-003 0.32332296898154E-003
  69 0.12337652667571E-001 0.69389367970646E+003 0.12203272308736E+001 0.56610178279728E-003 0.32624325431661E-003
  70 0.12607399496272E-001 0.70317314799098E+003 0.12240737537488E+001 0.57287311833090E-003 0.32916357784884E-003
  71 0.12875352330156E-001 0.71250345722017E+003 0.12278352660946E+001 0.57967400783995E-003 0.33208393506769E-003
  72 0.13141608355543E-001 0.72188478043272E+003 0.12316103446882E+001 0.58650407188690E-003 0.33500431490773E-003
  73 0.13406221304044E-001 0.73131591402944E+003 0.12353969677812E+001 0.59336257900899E-003 0.33792455746792E-003
  74 0.13669222942292E-001 0.74079496519219E+003 0.12391927944368E+001 0.60024849368730E-003 0.34084437690521E-003
  75 0.13930658015845E-001 0.75032058651098E+003 0.12429956596892E+001 0.60716091199416E-003 0.34376354747388E-003
  76 0.14190597288167E-001 0.75989248231313E+003 0.12468037711691E+001 0.61409937171712E-003 0.34668203256630E-003
