[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[FILECONTENT]
 SOURCETERMS (mole/cm^3/s)                                                                           
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          27

[TIME]
0.000000000000000E+00
[INLET]
Phi =  1.00, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac         
   1 -.50000000000000E+000 0.00000000000000E+000 0.86697650080288E-039 0.00000000000000E+000 -.23627683725420E-037 0.45950235318761E-073 -.45950235318761E-073 0.23627683725420E-037 0.00000000000000E+000 0.00000000000000E+000 0.24494660226223E-037 -.24494660226223E-037 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.59115127334118E-032 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   2 -.44482031913205E+000 -.10215403810757E-044 0.86697752234213E-039 -.25358941108529E-034 -.19864993582083E-035 -.95996687878328E-037 0.27417809470891E-034 0.23627683724212E-037 0.19515516980185E-065 0.84449933673816E-060 0.50838373564144E-034 -.52801245238628E-034 -.22141599810702E-058 0.22141599733655E-058 0.12587137960543E-054 0.19628716744792E-035 0.48576887853937E-047 -.14301122631716E-058 0.81752137901918E-062 0.15628335090598E-055 0.37035474975087E-070 0.37035474975087E-070 -.37035474975087E-070 0.00000000000000E+000 0.17576178790413E-029 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   3 -.38965482313239E+000 -.74080894737340E-042 0.86771730973274E-039 -.12178705121183E-032 -.60758095160210E-034 0.11930298714865E-034 0.12666746808799E-032 0.23627683706824E-037 0.27840602850507E-062 0.12071881163712E-056 0.24238352194412E-032 -.24845696869177E-032 -.26592436029007E-055 0.26592436026440E-055 0.50449752384684E-053 0.60734467476353E-034 0.15030499420243E-045 -.26876212703752E-055 0.15988613640046E-058 0.14962326164764E-052 0.17786394420751E-068 0.17786394420751E-068 -.17786394420751E-068 0.00000000000000E+000 0.74452951430500E-028 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   4 -.33453521409588E+000 -.76483465191870E-038 0.85153230198306E-038 -.89337320727981E-030 -.11422464906241E-032 -.35479185512528E-032 0.89806334869400E-030 0.23627683457214E-037 0.37081560583930E-058 0.16096535911276E-052 0.17902943499572E-029 -.17914365728201E-029 -.32183416691313E-051 0.32183416691309E-051 0.64338542777368E-051 0.11422228629378E-032 0.28268029822527E-044 -.38452780228084E-051 0.23822145760100E-054 0.52918957002733E-050 0.13047272286257E-065 0.13047272286257E-065 -.13047272286257E-065 0.00000000000000E+000 0.43381046630119E-025 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   5 -.27955708690613E+000 -.13851772110303E-033 0.13851858811001E-033 -.11357166568389E-026 -.28142144628341E-030 0.69676612869568E-029 0.11290304169746E-026 0.23627675879324E-037 0.11485576255453E-052 0.49858293197799E-047 0.22644655138976E-026 -.22647469353203E-026 -.46599049961131E-047 0.46599049961131E-047 0.92766201734088E-047 0.28142142265506E-030 0.69658448663424E-042 -.65220412791274E-047 0.42496993227650E-050 0.32124599530502E-045 0.16586577354055E-062 0.16586577354055E-062 -.16586577354055E-062 0.00000000000000E+000 0.54141287340495E-022 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   6 -.22504488127243E+000 -.22755682087272E-029 0.22755682496463E-029 -.13347016127004E-023 -.31380396240288E-027 0.66394324468523E-026 0.13283759842159E-023 0.23576109455098E-037 0.15068387934267E-046 0.65411131540276E-041 0.26627615210206E-023 -.26630753231656E-023 -.58309218977426E-043 0.58309218977426E-043 0.13487347822644E-042 0.31380214494128E-027 0.77811849079043E-039 -.91779006087284E-043 0.63006099043556E-046 0.39943059300893E-039 -.18174773008969E-032 0.18174773008969E-032 0.42290875648867E-054 0.00000000000000E+000 0.63714948597328E-019 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   7 -.17200429475797E+000 -.26853350292489E-025 0.26853384223148E-025 -.12005472909866E-020 -.29594540484941E-024 -.27732423111197E-022 0.12285755639229E-020 0.95545796679547E-028 0.13138635971888E-040 0.57034354068769E-035 0.24288001689789E-020 -.24290960101989E-020 -.17012003532547E-037 0.17012003532547E-037 0.12700030337690E-037 0.29593676511026E-024 -.95545816822302E-028 -.60989333255051E-038 0.58568740209129E-041 0.35501913707392E-033 -.86736898810684E-029 0.86736898810684E-029 0.89059138315814E-049 0.00000000000000E+000 0.59325482985138E-016 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   8 -.12281366216946E+000 -.16799757522853E-021 0.16810806693799E-021 -.56190474393913E-018 -.21561085361289E-020 -.46920679352298E-018 0.10332675924094E-017 -.56938490689531E-025 0.80536085952230E-034 0.34959922154517E-028 0.15928479081132E-017 -.15950042058639E-017 -.41129191180267E-028 0.41129191180267E-028 0.17934731757970E-048 0.21562413748925E-020 0.18622031673488E-025 0.00000000000000E+000 0.10772112298058E-033 0.18859395727827E-025 -.15963921942033E-025 0.15963921942021E-025 0.57102674560100E-038 0.00000000000000E+000 0.55542718824752E-013 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
   9 -.81276398444332E-001 -.10849081464515E-017 -.37806848157064E-018 -.83591918407329E-016 -.85954589803802E-017 -.17717585699274E-014 0.18632514222442E-014 0.63979331384784E-018 0.48406588234668E-027 0.21014936842745E-021 0.19371640511496E-014 -.19455938173456E-014 -.19563183821429E-021 0.19563182641534E-021 0.14040860873657E-022 0.72419836025717E-017 0.76819739515885E-018 0.15434407301379E-021 -.16476746594269E-021 0.20969092715342E-018 -.67532098319798E-023 0.67532097595972E-023 0.36191297497757E-031 0.00000000000000E+000 0.11225613786397E-009 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
  10 -.50852275133603E-001 -.27787137978027E-014 -.30864991254581E-015 -.41967309213679E-014 -.18125280413930E-012 -.11392993218581E-011 0.12010081402902E-011 0.12331499185631E-012 0.63588938755993E-022 0.27598790576910E-016 0.11217728830687E-011 -.11976141205511E-011 -.30887851577679E-016 0.30887841578615E-016 0.10814791832940E-016 0.18246994716598E-012 -.12414811322037E-012 0.34435877880736E-016 -.36294810264135E-016 0.87423538827690E-014 -.48623861525326E-021 0.48623658926069E-021 0.10129962846163E-026 0.00000000000000E+000 0.10325181266429E-006 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000
