[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.95, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22067680466931E+000 0.00000000000000E+000 -.55545709665717E-031 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.19694817429107E-045 0.52553827797940E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.72676936753275E+000 0.00000000000000E+000 0.30000000000000E+003 0.41909795435389E-001 -.24234924949860E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546612E-002 0.27688684910207E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000000000000E+003 -.56677293158455E-032
   2 -.44474779019623E+000 0.18431823306131E-012 -.17349428151237E-040 0.73994634378814E-032 0.22067680466870E+000 0.81913811392788E-035 -.83617308846030E-031 0.33688922786362E-033 -.55407641076093E-040 -.55400797570110E-040 0.10070116224850E-032 0.52553827797780E-001 -.11163183497509E-037 -.57161360988963E-045 -.55408574302809E-040 0.25324856829577E-036 -.51220761028957E-040 0.46417392809343E-040 -.51981270930640E-040 -.70485473337973E-033 -.19991503121491E-040 0.42831670940886E-040 0.72676936753334E+000 -.57322568758116E-045 0.29999999999965E+003 0.41909795435389E-001 -.24234924949823E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546599E-002 0.27688684910143E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999965E+003 0.51370155277106E-030
   3 -.38949619940486E+000 0.26099416024730E-011 -.17294620671549E-040 0.70160238347291E-029 0.22067680466057E+000 0.43317174318443E-032 0.49298516767002E-031 0.67376187090361E-033 -.55216828026910E-040 -.55377449137932E-040 0.20658548800561E-030 0.52553827795674E-001 -.11618212753575E-037 -.57161360988963E-045 -.55286778455728E-040 0.52192604765557E-034 -.55060895854588E-040 0.46684110027510E-040 -.55348313305751E-040 -.12647173937691E-032 -.31315874539924E-040 0.72053783228458E-040 0.72676936754115E+000 -.28661284379058E-045 0.29999999999501E+003 0.41909795435389E-001 -.24234924949337E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546432E-002 0.27688684909302E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999501E+003 0.24739924144712E-027
   4 -.33425178092587E+000 0.34519606202472E-010 -.36053986294760E-041 0.65960089765662E-026 0.22067680455385E+000 0.40689364267976E-029 0.11561288306290E-027 0.10145833776067E-032 -.54847882542570E-040 -.55347055920182E-040 0.19275872777482E-027 0.52553827768010E-001 0.31354434091269E-037 0.59066739688595E-044 -.55071709891565E-040 0.48486156808406E-031 -.55360821150163E-040 0.46131332682526E-040 -.55480301033237E-040 -.13957499968169E-032 0.70406897606594E-038 0.86899399040294E-038 0.72676936764362E+000 0.75952403604504E-044 0.29999999993398E+003 0.41909795435389E-001 -.24234924942953E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681544227E-002 0.27688684898241E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999993398E+003 0.23234602960212E-024
   5 -.27906649418610E+000 0.45305933747508E-009 0.16223527054922E-036 0.61380055804259E-023 0.22067680317039E+000 0.37868068494987E-026 0.16131136339558E-024 0.50306844787192E-031 -.48884974755580E-040 -.55141952020268E-040 0.17876201954312E-024 0.52553827408644E-001 0.14912020446167E-033 0.20568848869333E-038 -.51767607168180E-040 0.44802711809435E-028 -.47007890535329E-040 -.61905130812918E-039 -.10546799429801E-039 -.14006805514375E-030 0.33470345244051E-034 0.40508790245623E-034 0.72676936896791E+000 0.89709820106452E-043 0.29999999913863E+003 0.41909795435389E-001 -.24234924860296E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681515106E-002 0.27688684753148E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999913863E+003 0.21624076927233E-021
   6 -.22422215251249E+000 0.58502979784348E-008 0.17220792245074E-032 0.53866194748571E-020 0.22067678614944E+000 0.33279596600943E-023 0.12876765634124E-019 0.28961038684158E-027 0.24583483729007E-040 -.52274523013231E-040 0.15474886428593E-021 0.52553822959482E-001 -.11221817126258E-025 -.13407076650016E-030 -.10593948517755E-040 0.38179458966481E-025 0.66483618648357E-038 -.89405286495876E-032 -.39668240506197E-037 -.10899685926548E-027 0.14604404666104E-030 0.13116676470921E-030 0.72676938504078E+000 0.53381642155996E-042 0.29999998920761E+003 0.41909795435389E-001 -.24234923845456E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681126989E-002 0.27688682881119E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999998920761E+003 0.19010398130236E-018
   7 -.17076018319700E+000 0.70832477998448E-007 0.14013726854708E-028 0.37463333581976E-017 0.22067660671446E+000 0.24010922779081E-020 0.13531620515867E-014 0.86990160428722E-020 0.15713864606797E-037 0.73239804872907E-039 0.12951738127635E-018 0.52553775508184E-001 0.39156539961169E-018 0.40390063804422E-023 0.89102979001802E-038 0.30599727751844E-022 0.29959376430864E-030 0.27067316301503E-024 -.15183522573728E-033 -.37844316373992E-024 0.46535898362565E-027 0.11435203145259E-023 0.72676954694487E+000 0.29119864929123E-041 0.29999988177861E+003 0.41909795435389E-001 -.24234913166317E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247675983530E-002 0.27688660304125E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999988177861E+003 0.13841109532944E-015
   8 -.12126285502290E+000 0.71347622704297E-006 0.78581162988225E-025 0.13921600923558E-014 0.22067524599781E+000 0.18199814076302E-017 0.23513115689300E-010 0.47675620782743E-014 0.11184070224066E-030 0.47577555577940E-032 0.10537240556717E-014 0.52553410201580E-001 0.23917094661648E-012 -.11398739128170E-016 0.62008830734663E-031 -.63734476703275E-018 -.10826376586737E-022 -.76486339529768E-018 -.42966384908578E-027 -.13893350744898E-018 0.64823530926002E-024 0.10878715976641E-017 0.72677063030062E+000 0.39723966923687E-040 0.29999904049318E+003 0.41909795435389E-001 -.24234832165771E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247616537221E-002 0.27688436317283E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999904049318E+003 0.11882717415425E-012
   9 -.79816527614884E-001 0.49555167069319E-005 0.43175001267062E-021 0.16659378249224E-012 0.22066930827649E+000 0.29608290759229E-014 0.33062657452256E-007 0.31000677322654E-010 0.33868756021475E-024 0.16269240585071E-025 0.22190830898854E-011 0.52551578951321E-001 0.16097958705867E-008 0.41038876266582E-011 0.26673172037059E-024 0.31434517614294E-012 0.47470921745706E-016 0.27528133910982E-012 0.21371237724180E-020 0.53944839441013E-013 0.21425445935781E-021 0.83141183298421E-014 0.72677412254488E+000 0.18222572326004E-039 0.29999514052867E+003 0.41909795435389E-001 -.24234434402479E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247161381612E-002 0.27686955920507E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999514052867E+003 0.21504953152208E-009
  10 -.49925397819919E-001 0.20202965277869E-004 0.79554990751337E-018 0.48129313636121E-011 0.22066072407642E+000 0.15408948309013E-011 0.39460992024741E-005 0.76320528820304E-008 0.24441904599107E-019 0.12414321567767E-020 0.32590633614399E-009 0.52538798681203E-001 0.40229611549664E-006 0.13019014427095E-007 0.41197104673813E-019 0.11222036669829E-008 0.11673299238496E-011 0.69373364791146E-009 0.16449777866489E-015 0.46281484152802E-009 0.12449943360629E-019 0.21929395247400E-011 0.72677590261634E+000 -.12442770678600E-038 0.30001728085769E+003 0.41909795435389E-001 -.24231499668533E+003 0.52553827797940E-001 0.10132500000000E+006 0.11244216208106E-002 0.27681748660088E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30001728085769E+003 0.17306684153280E-006
