[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.95, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22067680466931E+000 0.00000000000000E+000 0.40138878930914E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.52553827797940E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.72676936753275E+000 0.00000000000000E+000 0.30000000000000E+003 0.41909794878858E-001 -.24234924949860E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546612E-002 0.27688684910207E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000000000000E+003 -.56677293158455E-032
   2 -.44474770282236E+000 0.18431805665063E-012 -.17212183866123E-040 0.74464398474805E-032 0.22067680466870E+000 0.45934672878653E-035 0.62528807385517E-033 0.10229170706007E-035 -.55805313235692E-040 -.55404141333990E-040 0.21853872596684E-033 0.52553827797780E-001 0.39848138672213E-039 0.40638943068302E-046 -.55645508513071E-040 0.54994487700421E-037 -.47408213699757E-040 0.46952235762409E-040 -.48642198546387E-040 -.55646740186853E-036 -.72374597083520E-041 0.15504723630202E-040 0.72676936753334E+000 0.52134810085523E-046 0.29999999999965E+003 0.41909794878858E-001 -.24234924949823E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546599E-002 0.27688684910143E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999965E+003 0.25663041130056E-030
   3 -.38949602445964E+000 0.26099489306847E-011 -.17579712707196E-040 0.70166846155809E-029 0.22067680466057E+000 0.43283795689764E-032 0.11460914432827E-030 0.20431550866025E-035 -.54600569349932E-040 -.55368451539713E-040 0.20516954972400E-030 0.52553827795674E-001 0.41423889301946E-038 0.51131325434750E-045 -.54975391087973E-040 0.51638446619299E-034 -.54545517161308E-040 0.53033528446368E-040 -.54946678023602E-040 -.15723162659391E-035 -.14466233324978E-040 0.35963952813473E-040 0.72676936754115E+000 0.64914409514179E-045 0.29999999999501E+003 0.41909794878858E-001 -.24234924949337E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681546432E-002 0.27688684909302E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999999501E+003 0.24715448134444E-027
   4 -.33425151953764E+000 0.34519839683746E-010 0.36653287148800E-041 0.65966415895244E-026 0.22067680455385E+000 0.40693264785036E-029 0.11566082510710E-027 0.72032284677195E-035 -.33829927434783E-040 -.54449425597177E-040 0.19277592330777E-027 0.52553827768010E-001 0.52346401362757E-037 0.65875211355139E-044 -.43317095452645E-040 0.48489996843249E-031 -.56128265305370E-040 0.55071863145186E-040 -.57077610331392E-040 -.72242745489179E-035 0.70724498966155E-038 0.86251148878443E-038 0.72676936764362E+000 0.83600103340636E-044 0.29999999993398E+003 0.41909794878858E-001 -.24234924942953E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681544227E-002 0.27688684898241E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999993398E+003 0.23236830326393E-024
   5 -.27906616018188E+000 0.45306391855306E-009 0.16227073981251E-036 0.61386704560082E-023 0.22067680317037E+000 0.37872169719538E-026 0.16134609812446E-024 0.48970510264976E-031 0.72429968548349E-041 -.38391864148160E-040 0.17878137376860E-024 0.52553827408640E-001 0.37680692003808E-034 0.36025862649519E-039 0.40553978256093E-041 0.44807594021158E-028 -.53920997014621E-040 0.17347467574479E-039 -.17878859086835E-039 -.43416444651204E-032 0.33475440247367E-034 0.40514854361755E-034 0.72676936896792E+000 0.10742039057045E-042 0.29999999913862E+003 0.41909794878858E-001 -.24234924860295E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681515106E-002 0.27688684753146E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999913862E+003 0.21626418784944E-021
   6 -.22422181180081E+000 0.58503587619461E-008 0.17222438780337E-032 0.53872085365749E-020 0.22067678614936E+000 0.33283217506180E-023 0.12882612070525E-019 0.28950952275398E-027 0.93585910618009E-040 0.36639062082403E-041 0.15476543063345E-021 0.52553822959457E-001 -.11264319786568E-025 -.13392636539058E-030 0.52408583030264E-040 0.38183482249462E-025 0.60363344837758E-038 -.89387592755847E-032 -.13816970839618E-036 -.37603627132407E-029 0.14606622897457E-030 0.13114798259202E-030 0.72676938504082E+000 0.13132966609499E-041 0.29999998920754E+003 0.41909794878858E-001 -.24234923845452E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247681126983E-002 0.27688682881098E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999998920754E+003 0.19012463893165E-018
   7 -.17076003239346E+000 0.70832585791803E-007 0.14013787984777E-028 0.37466249392688E-017 0.22067660671798E+000 0.24012358842428E-020 0.13536410538045E-014 0.87068846305295E-020 0.16450446845089E-037 0.81373065045885E-039 0.12953414313280E-018 0.52553775509030E-001 0.39193137051850E-018 0.40345700347544E-023 0.93473036005159E-038 0.30603398709086E-022 0.57268327798073E-030 0.27063877842721E-024 -.16387097944680E-033 0.41690506767495E-025 0.46541003480338E-027 0.11447620606234E-023 0.72676954694040E+000 0.13882562917668E-040 0.29999988178030E+003 0.41909794878858E-001 -.24234913166528E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247675983449E-002 0.27688660304082E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999988178030E+003 0.13841880173728E-015
   8 -.12126332475998E+000 0.71345678644502E-006 0.78555589319935E-025 0.13921374305855E-014 0.22067524609964E+000 0.18194651768987E-017 0.23515691870203E-010 0.47688960707019E-014 0.11181443273753E-030 0.47569940960452E-032 0.10538565240396E-014 0.52553410227984E-001 0.23923898861710E-012 -.11398107244618E-016 0.63378328756052E-031 -.63728587840406E-018 -.20685634800813E-022 -.76478146912977E-018 -.82828632839504E-027 -.13898380567961E-018 0.64822724103994E-024 0.10882009415232E-017 0.72677063019182E+000 0.10757560450938E-039 0.29999904055194E+003 0.41909794878858E-001 -.24234832171785E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247616537727E-002 0.27688436323952E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999904055194E+003 0.11879084222658E-012
   9 -.79818309266662E-001 0.49550818435662E-005 0.43140813067722E-021 0.16656224527864E-012 0.22066930917276E+000 0.29587328059971E-014 0.33055112387154E-007 0.30993929312658E-010 0.33836208891849E-024 0.16253877397332E-025 0.22185608375105E-011 0.52551579277155E-001 0.16094460675067E-008 0.41039408717304E-011 0.26652618100943E-024 0.31435614586231E-012 0.47455999196049E-016 0.27527507430498E-012 0.21366138138278E-020 0.53957866219093E-013 0.21420575495451E-021 0.83123253942532E-014 0.72677412176555E+000 0.41281267905508E-039 0.29999514118297E+003 0.41909794878858E-001 -.24234434474460E+003 0.52553827797940E-001 0.10132500000000E+006 0.11247161418005E-002 0.27686956070482E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999514118297E+003 0.21489874920058E-009
  10 -.49928982436126E-001 0.20199506964849E-004 0.79462942350994E-018 0.48110101827220E-011 0.22066072429929E+000 0.15393695108416E-011 0.39438944868557E-005 0.76272867450329E-008 0.24403552436490E-019 0.12394858152699E-020 0.32571791982415E-009 0.52538804684011E-001 0.40204432790281E-006 0.13008630091704E-007 0.41129284975967E-019 0.11213020904985E-008 0.11659909069661E-011 0.69318904522628E-009 0.16428144542767E-015 0.46242552033082E-009 0.12443963778865E-019 0.21915570726609E-011 0.72677590232266E+000 -.12855021395845E-038 0.30001726474810E+003 0.41909794878858E-001 -.24231501130158E+003 0.52553827797940E-001 0.10132500000000E+006 0.11244217271494E-002 0.27681749791621E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30001726474810E+003 0.17288468178351E-006
