[CHEM1D_DATAFILE_VERSION]
 4

[NUMBER_OF_GRIDPOINTS]
         300
[MOLE_OR_MASS_FRACTIONS]
 MASS
[NUMBER_OF_SPECIES]
          23
[NUMBER_OF_VARIABLES]
          35

[TIME]
0.000000000000000E+00
[INLET]
Phi =  0.80, Tinlet =  300.00 K, Pinlet =  101325.00 Pa.
[COMMENT]
Adiabatic flame, Stationary solution, Mixture averaged diffusion, Detailed chemistry,  No radiation model.
 No heat exchanger model.
[USER_COMMENT]
-                                                      

[FILE_STRUCTURE_COLUMNS_CONTAINING]
 i x(i) H2               H                O                O2               OH               H2O              HO2              CH2              CH2(S)           CH3              CH4              CO               CO2              HCO              CH2O             CH3O             C2H4             C2H5             C2H6             N                NO               N2               AR               Temp             Massflow         Enthalpy         MixFrac          Press            Density          MeanMass         Surface          Stretch          Porosity         Tsolid           HeatRel         
   1 -.50000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.22252329693693E+000 0.00000000000000E+000 -.11274265906421E-033 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.44626161663849E-001 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 0.00000000000000E+000 -.95552308531563E-034 0.00000000000000E+000 0.73285054139922E+000 0.00000000000000E+000 0.30000000000000E+003 0.32418427810144E-001 -.20550346632688E+003 0.44626161663849E-001 0.10132500000000E+006 0.11316415925193E-002 0.27857889963100E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000000000000E+003 -.49074363459962E-032
   2 -.44456178461200E+000 0.11303298606922E-010 -.36377606744662E-033 0.56473566418973E-026 0.22252329691107E+000 -.41484514356636E-026 -.48645491121225E-018 -.16262633715458E-021 -.31602120135242E-037 -.14599302464581E-038 0.75293297462350E-027 0.44626161658125E-001 -.17458687339590E-019 -.38449742417104E-020 -.70513214024451E-035 -.66161148146348E-022 -.12849193045985E-025 -.33367639140005E-022 -.82822482127890E-031 -.11370908250674E-022 -.13667255848200E-028 -.12254995822261E-025 0.73285054141950E+000 0.24809513095406E-030 0.29999999998430E+003 0.32418427810144E-001 -.20550346631671E+003 0.44626161663849E-001 0.10132500000000E+006 0.11316415924156E-002 0.27857889959091E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999998430E+003 -.40864943219754E-025
   3 -.38942506371557E+000 0.93024494517209E-010 -.10996423066772E-031 0.77371334409860E-024 0.22252329672809E+000 -.41232200966657E-024 -.38489805827840E-017 -.13696993165611E-020 -.31519939914155E-036 -.14737012911452E-037 0.32233045270862E-024 0.44626161617542E-001 -.14727873131863E-018 -.36337220235318E-019 -.88813980687269E-033 -.62653082204907E-021 -.97598354126500E-024 -.31307330445468E-021 -.79894634650326E-030 -.11029370286167E-021 -.17960550077689E-027 -.10361490774982E-024 0.73285054156134E+000 -.19119775954813E-028 0.29999999987282E+003 0.32418427810144E-001 -.20550346624470E+003 0.44626161663850E-001 0.10132500000000E+006 0.11316415916586E-002 0.27857889930102E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999987282E+003 -.52915520810296E-023
   4 -.33513737034223E+000 0.66452335022899E-009 -.14915915451119E-030 0.96735452828641E-022 0.22252329549865E+000 -.10406705865962E-022 -.16963442705638E-016 -.63284243264663E-020 -.14946704665836E-035 -.73061756558569E-037 0.11606725472968E-022 0.44626161344053E-001 -.68326638449391E-018 -.18751979329693E-018 -.79106356375378E-031 -.32255788183656E-020 -.24804409231993E-022 -.16040384182760E-020 -.47386269735475E-029 -.58470742419853E-021 -.11998832840373E-026 -.48131745114189E-024 0.73285054249277E+000 0.27698398307827E-027 0.29999999911993E+003 0.32418427810144E-001 -.20550346576068E+003 0.44626161663851E-001 0.10132500000000E+006 0.11316415862620E-002 0.27857889727340E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999911993E+003 -.70179759271242E-021
   5 -.28247413635961E+000 0.44190832864225E-008 -.29985068017390E-029 0.10267553754525E-019 0.22252328790832E+000 -.12954372933472E-021 -.49018042619033E-016 -.20784633442694E-019 -.55299821689226E-034 -.19350421482999E-035 0.49414281686061E-021 0.44626159648566E-001 -.22883711581277E-017 -.69637671002830E-018 -.73374819991115E-029 -.11712010017431E-019 -.41470781146829E-021 -.59161184521659E-020 -.18866670725737E-028 -.22316089136611E-020 -.48611259766629E-026 -.16031029740480E-023 0.73285054802403E+000 -.16796160923735E-027 0.29999999443814E+003 0.32418427810144E-001 -.20550346276999E+003 0.44626161663853E-001 0.10132500000000E+006 0.11316415497938E-002 0.27857888394844E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999999443814E+003 -.75523095961896E-019
   6 -.23238989301162E+000 0.26770705836921E-007 -.19759633605498E-027 0.84480846258015E-018 0.22252324626730E+000 -.71708927972083E-021 0.35805760307081E-014 0.16668477134762E-018 -.49762269309194E-031 -.26792656411457E-032 0.72055936968384E-019 0.44626150299211E-001 0.55239917182808E-017 -.20893499923147E-017 -.58611841383719E-027 -.28635655958082E-019 -.81093349659291E-020 -.17644137899393E-019 -.20193286949738E-026 -.68853538291328E-020 -.15816481289466E-025 0.35310758355280E-022 0.73285057666278E+000 -.17435564346751E-027 0.29999996852651E+003 0.32418427810144E-001 -.20550344633946E+003 0.44626161663858E-001 0.10132500000000E+006 0.11316413251704E-002 0.27857880459092E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999996852651E+003 -.61700195185989E-017
   7 -.18579327067107E+000 0.14329777466683E-006 -.69648365370246E-025 0.49742799065256E-016 0.22252304823450E+000 -.15930282000696E-018 0.14166811528800E-011 0.23292586806226E-015 -.77091738906883E-028 -.60626659309902E-029 0.25864493884940E-016 0.44626105566609E-001 0.12945691206446E-013 -.51187343286964E-017 -.51639970626679E-025 0.20132376898205E-018 -.28610598487100E-018 -.27133968224142E-019 -.20727958922133E-023 -.18047927711016E-019 -.60705027044823E-025 0.47382091278328E-019 0.73285070289968E+000 -.54997283724139E-027 0.29999984402241E+003 0.32418427810144E-001 -.20550336807333E+003 0.44626161663867E-001 0.10132500000000E+006 0.11316401135148E-002 0.27857839070092E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999984402241E+003 -.33300215731010E-015
   8 -.14326451156830E+000 0.66405879092688E-006 -.28569638407562E-022 0.20064027436076E-014 0.22252224801035E+000 -.10691222525259E-016 0.28636217221062E-009 0.11109215366433E-012 -.15534640440738E-024 -.10674207758405E-025 0.65037694849374E-014 0.44625922300935E-001 0.62909829995492E-011 0.34044155878456E-014 -.12818415441997E-022 0.19767178507282E-015 -.21524307627947E-016 0.16114277668666E-015 -.87682236109364E-021 0.15382903126466E-016 -.14404101807595E-024 0.24549262513790E-016 0.73285116533715E+000 -.11187714763967E-026 0.29999933287234E+003 0.32418427810144E-001 -.20550305127611E+003 0.44626161663880E-001 0.10132500000000E+006 0.11316345256646E-002 0.27857654047817E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999933287234E+003 -.57706605582198E-014
   9 -.10517093342026E+000 0.26291663433958E-005 -.32653487712134E-020 0.54221180587775E-013 0.22251973498799E+000 0.24239738603834E-015 0.30568972049163E-007 0.23976079843427E-010 -.13768759385387E-021 -.74256890365087E-023 0.85796185116175E-012 0.44625237399136E-001 0.13765955123843E-008 0.82220273915851E-011 -.23139835650680E-020 0.46942046513540E-012 -.16118523179231E-014 0.31254431870893E-012 -.74613538086387E-019 0.89262197411239E-013 0.20220105903581E-023 0.56602817173724E-014 0.73285236646698E+000 -.25130364533639E-026 0.29999773195217E+003 0.32418427810144E-001 -.20550193528293E+003 0.44626161663898E-001 0.10132500000000E+006 0.11316122507160E-002 0.27856957044327E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.29999773195217E+003 0.15792589554928E-010
  10 -.72906856902399E-001 0.84591163197308E-005 -.47723649118919E-020 0.87793001601721E-012 0.22251602930507E+000 0.65178377512771E-013 0.14983198113653E-005 0.20267553226945E-008 -.30113071681433E-019 -.15851624879312E-020 0.49766351519620E-010 0.44620967506817E-001 0.11758815196820E-006 0.38786313999321E-008 -.40788302945099E-018 0.23597257518658E-009 0.32550850211771E-013 0.12768995058555E-009 0.61770847898132E-018 0.73763728034524E-010 0.69236074233912E-022 0.50310593682411E-012 0.73285292176977E+000 -.56723734103809E-026 0.30000459224229E+003 0.32418427810144E-001 -.20549483520294E+003 0.44626161663918E-001 0.10132500000000E+006 0.11315039301157E-002 0.27854927477062E+002 0.10000000000000E+001 0.00000000000000E+000 0.10000000000000E+001 0.30000459224229E+003 0.59586163645479E-008
