Temperature (K),H2,O2,N2,CO2,H2O,CH4
300.0,14310.905255369767,918.43462505419,1037.8911357957468,845.684904874131,1864.9154285171269,2229.0429122783953
410.5263157894737,14529.54092013223,944.3004040515715,1047.6165272860314,946.653892554652,1907.1160960809486,2563.146716579152
521.0526315789474,14526.321832660866,978.0617006457512,1060.841925452913,1028.0426190457688,1967.0765861281711,2980.0577777514613
631.578947368421,14515.558668816971,1012.0609869216519,1080.1793926796943,1093.2051659741212,2036.621727785233,3406.652089641924
742.1052631578948,14602.607520444615,1041.659503724491,1105.6421126663429,1145.398380081636,2110.505437390211,3800.7472250358837
852.6315789473684,14783.86989537064,1065.2372606597842,1134.6443904294933,1187.7818732255225,2186.410718492821,4151.102335657431
963.1578947368421,14946.792717404662,1084.1930360933397,1162.0016523024453,1223.4180223782787,2264.9496618544176,4477.418152169388
1073.6842105263158,15112.712683691965,1099.5506308175093,1182.7109863892692,1252.407394877533,2346.6089025530787,4779.420014295406
1184.2105263157896,15343.69362775496,1112.4230795623714,1200.8131744860598,1276.303869849539,2424.766047980029,5039.422338039552
1294.7368421052631,15577.72425166858,1124.048622304623,1216.9816272210574,1296.725326493221,2498.78377062637,5270.982964983828
1405.2631578947369,15812.12224179096,1134.6420236380256,1231.3786129367736,1314.1147541807834,2568.6110350903223,5477.117009054483
1515.7894736842106,16044.501086992379,1144.3978793619242,1244.1592211666978,1328.8831985171028,2634.2246096633476,5660.650595683418
1626.3157894736842,16272.770078655272,1153.4906164812485,1255.4713626352957,1341.4097613397325,2695.6290663301443,5824.22086180817
1736.842105263158,16495.134310674228,1162.0744932065136,1265.4557692580104,1352.0416007188967,2752.8567807686495,5970.2759558719345
1847.3684210526317,16710.094679455957,1170.2835989538205,1274.2459941412615,1361.0939309574949,2805.9679323500436,6101.0750378235525
1957.8947368421052,16916.447883919343,1178.2318543448546,1281.9684115824473,1368.8500225911,2855.0505041387414,6218.688279117505
2068.421052631579,17113.286425495397,1186.013011206885,1288.7422170699422,1375.5612023879582,2900.2202828924005,6324.99686271393
2178.9473684210525,17299.998608127287,1193.7006525727668,1294.6794272830955,1381.4468533489903,2941.620859061915,6421.692983078604
2289.4736842105262,17476.268538270328,1201.3481926809416,1299.8848800922385,1386.6944147077904,2979.423626791419,6510.279846182961
2400.0,17642.076124891988,1208.9888769754325,1304.456234558674,1391.4593819306253,3013.8277839182874,6592.071669504067
